Items,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Sect
E5. This course improved my ability to critically consume analytical information.,48,112,21,8,1,Ability Sectioned
E6. WebAssign was a helpful tool that facilitated my learning in this course.,27,57,32,28,46,Ability Sectioned
E7. The Problem Solving Labs were value added to the course and assisted me in learning the material,44,87,27,25,7,Ability Sectioned
E8. The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,65,87,20,14,4,Ability Sectioned
E9. This course helped me understand and analyze complicated problems.,41,106,34,8,1,Ability Sectioned
"E10. Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",39,66,46,25,14,Ability Sectioned
E11. The pace of the lessons throughout the semester were:,2,16,83,76,13,Ability Sectioned
E12. My mathematical abilities were aligned with the rest of my section.,15,99,43,32,1,Ability Sectioned
E13. Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,45,66,38,25,16,Ability Sectioned
E5. This course improved my ability to critically consume analytical information.,60,134,21,4,2,Randomly Sectioned
E6. WebAssign was a helpful tool that facilitated my learning in this course.,34,51,53,42,41,Randomly Sectioned
E7. The Problem Solving Labs were value added to the course and assisted me in learning the material,42,109,47,17,6,Randomly Sectioned
E8. The use of the R statistical software package throughout the course improved my comfort using technology to solve mathematical problems.,88,92,24,8,9,Randomly Sectioned
E9. This course helped me understand and analyze complicated problems.,42,139,30,6,4,Randomly Sectioned
"E10. Compared to other USMA math courses, I felt comfortable participating and was more engaged during class.",48,88,48,26,11,Randomly Sectioned
E11. The pace of the lessons throughout the semester were:,4,13,97,94,13,Randomly Sectioned
E12. My mathematical abilities were aligned with the rest of my section.,24,96,50,41,10,Randomly Sectioned
E13. Do you believe sectioning by ability would be advantageous or disadvantageous to learning?,55,76,48,26,16,Randomly Sectioned
